review_id,source,product_name,review_title,review_text,rating,review_date,app_version,region,product_category
R-1001,Amazon,Ninja Thirsti Drink System,Great drinks but setup was confusing,"The drink quality is excellent, but the first setup flow took three tries. The app kept asking me to pair again even after the machine showed connected.",3,2026-04-28,3.8.1,US,Beverage
R-1002,App Store,Ninja Pro Connect Blender,App loses my blender,"I can blend manually, but the app drops the blender every other day. Re-pairing fixes it for a while and then it disappears again.",2,2026-05-02,3.8.2,US,Kitchen Appliance
R-1003,Best Buy,Shark Matrix Robot Vacuum,Mapping failed after update,"The vacuum cleaned fine before the latest update. Now room mapping resets and the robot starts the whole house instead of the selected room.",2,2026-04-19,3.8.0,US,Floorcare
R-1004,Amazon,Ninja Woodfire Outdoor Grill,Temperature probe is unreliable,"Love the grill, but the probe said chicken was done when it was clearly not. That is a safety concern, not just an inconvenience.",2,2026-03-30,,US,Outdoor Cooking
R-1005,Google Play,SharkClean App,Login loop on Android,"The SharkClean app signs me out and then loops at login. I cannot start the vacuum from work anymore.",1,2026-05-05,3.8.2,US,Mobile App
R-1006,Amazon,Ninja Foodi DualZone Air Fryer,Basket coating wearing early,"After two months the basket coating started flaking despite hand washing. Food sticks and I am worried about using it.",2,2026-04-22,,US,Cooking
R-1007,Target,Ninja Creami Deluxe,Loud but makes great desserts,"The Creami is loud, which I expected. The bigger issue is the lid sensor sometimes says open when it is fully locked.",3,2026-04-11,,US,Dessert Maker
R-1008,App Store,SharkClean App,Schedule disappeared,"My schedule vanished after the app update. The robot still works from the button, but the smart features are basically gone.",2,2026-05-01,3.8.2,US,Mobile App
R-1009,Amazon,Shark FlexStyle Air Styling System,Attachment gets too hot,"The styling results are good, but one attachment gets extremely hot near the handle. I stopped using it because it felt unsafe.",2,2026-03-18,,US,Beauty
R-1010,Walmart,Ninja Blast Portable Blender,Battery drains while stored,"I charged it fully and left it in a cabinet for a week. It was dead when I went to use it, which defeats the portable idea.",2,2026-04-05,,US,Portable Appliance
R-1011,Google Play,Ninja Thirsti App,Flavor pods not recognized,"The app and machine both say the pod is missing. I tried three pods from the same box and only one registered.",2,2026-04-26,3.8.1,US,Beverage
R-1012,Amazon,Shark Cordless Detect Pro,Great suction short runtime,"Suction is great, but boost mode gives me maybe eight minutes. The battery estimate also jumps from 40 percent to empty.",3,2026-04-15,,US,Floorcare
R-1013,App Store,SharkClean App,Support asked for logs I cannot find,"Support told me to send app logs, but the instructions do not match the current app screens. I gave up and returned it.",1,2026-05-04,3.8.2,US,Mobile App
R-1014,Amazon,Ninja Coffee Barista System,Water leak under machine,"Coffee tastes good but water pools under the machine during brew. It happened twice on a wood counter.",1,2026-03-27,,US,Coffee
R-1015,Best Buy,Shark Matrix Robot Vacuum,Obstacle avoidance is worse at night,"During the day it is fine, but at night it bumps chair legs and misses the kitchen. It feels like the sensor behavior changed.",3,2026-04-23,3.8.0,US,Floorcare
R-1016,Amazon,Ninja Foodi PossibleCooker Pro,Display fogs during cooking,"The cooker works, but steam gets behind the display window. I am worried it will fail after the warranty.",3,2026-04-07,,US,Cooking
R-1017,Google Play,SharkClean App,Robot offline after Wi-Fi change,"Changing my Wi-Fi name turned into a full reset. The app never explained that I needed to delete the old robot first.",2,2026-05-03,3.8.2,US,Mobile App
R-1018,Amazon,Ninja Woodfire Outdoor Grill,Smoke box jams,"Pellets work well when they feed, but the smoke box jams and the grill throws an error. Cleaning it did not solve it.",2,2026-04-02,,US,Outdoor Cooking
R-1019,App Store,Ninja Pro Connect Blender,Recipe sync is slow,"Recipes look nice but sync takes forever and sometimes the blender starts with the wrong preset name in the app.",3,2026-04-29,3.8.1,US,Kitchen Appliance
R-1020,Target,Shark NeverChange Air Purifier,Filter life estimate feels wrong,"The app said the filter was nearly done after three weeks in a clean apartment. Customer support said to reset it manually.",3,2026-04-13,3.8.1,US,Air Treatment
R-1021,Amazon,Ninja Luxe Cafe,Milk system hard to clean,"The espresso is great, but the milk tube clogs unless I clean it immediately. The quick-start guide does not make that obvious.",4,2026-04-17,,US,Coffee
R-1022,Google Play,Ninja Kitchen App,Crash when adding appliance,"The app crashes every time I tap add appliance. I can use the product, but I cannot access guided recipes or warranty setup.",1,2026-05-06,3.8.2,US,Mobile App
R-1023,Amazon,Shark HydroVac MessMaster,Dirty water tank smell,"It cleans well, but the dirty tank smells after one day even when emptied. The gasket area seems to hold liquid.",2,2026-03-25,,US,Floorcare
R-1024,Best Buy,Ninja Foodi Smart XL Grill,Probe cable frays early,"The grill itself is excellent, but the probe cable started fraying near the plug after six cooks.",2,2026-04-09,,US,Cooking
R-1025,App Store,SharkClean App,Notifications arrive hours late,"I get stuck brush notifications two hours after the robot stops. By then the cleaning job is useless.",2,2026-05-05,3.8.2,US,Mobile App
R-1026,Amazon,Ninja Slushi,Great product but error codes unclear,"We love the drinks, but E2 appeared twice and the manual did not say what to do besides unplugging it.",3,2026-04-20,,US,Beverage
R-1027,Walmart,Shark PowerDetect Upright,Brush roll tangles fast,"It pulls up pet hair, but the brush roll wraps hair after one room. The cleanout door is harder to open than advertised.",3,2026-04-24,,US,Floorcare
R-1028,Google Play,SharkClean App,Firmware update stuck,"Firmware update sat at 92 percent for an hour and then the robot stayed offline. Support had me reboot everything twice.",1,2026-05-07,3.8.2,US,Mobile App
